demand_index,time_slot,day_of_week,competition_pressure,operational_cost,seasonality_index,marketing_intensity,dynamic_price,time_slot_sin,time_slot_cos,day_of_week_sin,day_of_week_cos
77.0,14,1,0.97,120.82,1.01,0.9,340.1269211163756,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
98.0,27,6,0.09,59.41,0.7,1.18,369.1922102557645,-0.22252093395631464,0.9749279121818235,-0.7818314824680299,0.6234898018587334
74.0,21,6,0.94,113.61,0.83,1.1099999999999999,272.13805786415656,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334
14.0,25,6,0.77,21.818749999999994,0.82,1.04,137.5245314448028,-0.6234898018587337,0.7818314824680297,-0.7818314824680299,0.6234898018587334
111.0,23,0,0.18,95.94,0.66,0.54,367.5093115325907,-0.9009688679024193,0.43388373911755795,0.0,1.0
86.0,25,6,0.65,114.49,0.87,0.14,331.0238679535097,-0.6234898018587337,0.7818314824680297,-0.7818314824680299,0.6234898018587334
49.0,8,6,0.88,87.36,0.85,0.43,256.5185024053263,0.9749279121818236,-0.22252093395631434,-0.7818314824680299,0.6234898018587334
44.0,16,8,1.06,24.83,1.13,0.23,213.04001757665068,-0.433883739117558,-0.9009688679024191,0.7818314824680296,0.6234898018587337
55.0,7,7,0.7994440767703508,177.15,0.8,0.69,291.5052053301834,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0
86.5,20,6,0.34,146.33,1.2,0.96,292.7953095794374,-0.9749279121818236,-0.2225209339563146,-0.7818314824680299,0.6234898018587334
118.0,1,0,1.55,129.31,0.79,1.23,410.7875264297518,0.2225209339563144,0.9749279121818236,0.0,1.0
84.0,20,2,0.43,138.6,0.9955188679245284,0.23,194.314590239569,-0.9749279121818236,-0.2225209339563146,0.9749279121818236,-0.22252093395631434
50.0,2,6,0.91,144.88,1.11,0.08,297.7460042253996,0.4338837391175581,0.9009688679024191,-0.7818314824680299,0.6234898018587334
89.0,14,8,1.38,131.88,1.45,1.11,598.2635172022032,1.2246467991473532e-16,-1.0,0.7818314824680296,0.6234898018587337
95.0,15,8,0.04,119.92,0.6,0.98,394.2728305278103,-0.22252093395631384,-0.9749279121818237,0.7818314824680296,0.6234898018587337
114.0,11,4,0.7994440767703508,45.46,0.95,0.85,406.8636901395029,0.6234898018587339,-0.7818314824680295,-0.433883739117558,-0.9009688679024191
98.5,19,6,0.9,169.07,1.22,0.72,234.7430810072412,-0.900968867902419,-0.4338837391175583,-0.7818314824680299,0.6234898018587334
83.0,2,5,0.8,101.2,0.73,0.57,293.8555797727,0.4338837391175581,0.9009688679024191,-0.9749279121818236,-0.2225209339563146
109.0,18,8,1.16,88.79,1.39,0.42,337.618131235881,-0.7818314824680297,-0.6234898018587337,0.7818314824680296,0.6234898018587337
23.0,20,6,0.1,135.9,1.29,0.25,276.26698031204984,-0.9749279121818236,-0.2225209339563146,-0.7818314824680299,0.6234898018587334
81.0,3,0,1.23,129.18,0.9955188679245284,1.28,306.24882209628424,0.6234898018587335,0.7818314824680298,0.0,1.0
5.0,17,2,1.28,101.76,0.88,0.75,127.15070462090088,-0.6234898018587338,-0.7818314824680296,0.9749279121818236,-0.22252093395631434
36.0,23,7,0.15,95.43,1.06,1.26,598.2635172022032,-0.9009688679024193,0.43388373911755795,-2.4492935982947064e-16,1.0
29.0,27,4,0.48,148.28,1.33,1.01,229.97909372630505,-0.22252093395631464,0.9749279121818235,-0.433883739117558,-0.9009688679024191
29.666666666666668,23,0,0.54,137.7,0.69,0.76,166.90283925280258,-0.9009688679024193,0.43388373911755795,0.0,1.0
30.333333333333332,20,3,0.32,212.2,1.26,0.38,188.90513635206307,-0.9749279121818236,-0.2225209339563146,0.43388373911755823,-0.900968867902419
31.0,20,5,0.13,155.68,0.82,0.33,256.42297992593353,-0.9749279121818236,-0.2225209339563146,-0.9749279121818236,-0.2225209339563146
28.0,10,0,0.67,61.49,0.89,0.22,130.2678001085379,0.7818314824680299,-0.6234898018587335,0.0,1.0
66.0,20,6,1.35,150.88,0.97,0.43500000000000005,236.6878367066281,-0.9749279121818236,-0.2225209339563146,-0.7818314824680299,0.6234898018587334
83.66666666666667,0,8,1.42,132.87,0.58,0.65,114.20857853157791,0.0,1.0,0.7818314824680296,0.6234898018587337
101.33333333333334,25,4,0.7994440767703508,92.92,1.05,0.53,294.5945751832281,-0.6234898018587337,0.7818314824680297,-0.433883739117558,-0.9009688679024191
119.0,10,8,0.8,51.38,0.59,1.3,404.9122507751828,0.7818314824680299,-0.6234898018587335,0.7818314824680296,0.6234898018587337
129.0,7,0,1.53,202.02,1.5,1.03,464.78228981833087,1.0,6.123233995736766e-17,0.0,1.0
83.0,20,7,1.31,108.51,0.74,0.76,321.700141519287,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
78.0,10,7,1.37,135.55,0.73,0.12,247.7675753120284,0.7818314824680299,-0.6234898018587335,-2.4492935982947064e-16,1.0
98.5,26,2,0.46,119.92,0.97,0.48,211.59225554171712,-0.4338837391175575,0.9009688679024194,0.9749279121818236,-0.22252093395631434
119.0,23,2,1.07,142.91,1.05,0.72,427.8227381682906,-0.9009688679024193,0.43388373911755795,0.9749279121818236,-0.22252093395631434
106.0,14,2,0.67,104.64,1.09,0.41,156.0977919643688,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434
93.0,18,2,0.88,119.92,1.27,0.67,78.49580902948449,-0.7818314824680297,-0.6234898018587337,0.9749279121818236,-0.22252093395631434
80.0,10,3,1.05,131.57,1.11,0.42,191.17272090657485,0.7818314824680299,-0.6234898018587335,0.43388373911755823,-0.900968867902419
67.0,24,8,0.92,182.58,1.0,0.24,378.81543577537127,-0.7818314824680299,0.6234898018587334,0.7818314824680296,0.6234898018587337
84.0,25,6,1.05,155.27,0.88,0.06,179.68933835498925,-0.6234898018587337,0.7818314824680297,-0.7818314824680299,0.6234898018587334
101.0,26,1,0.82,117.44,0.56,0.35,304.9680052533232,-0.4338837391175575,0.9009688679024194,0.7818314824680298,0.6234898018587336
54.0,6,0,0.62,132.49,1.46,0.47,366.8198652433264,0.9749279121818236,0.22252093395631445,0.0,1.0
7.0,21,0,0.32,130.76,0.6,0.25,143.92087938707846,-1.0,-1.8369701987210297e-16,0.0,1.0
18.0,20,2,0.97,69.36,0.57,1.01,159.10075330232502,-0.9749279121818236,-0.2225209339563146,0.9749279121818236,-0.22252093395631434
30.0,19,7,0.45,102.32,0.67,1.19,385.53730806496696,-0.900968867902419,-0.4338837391175583,-2.4492935982947064e-16,1.0
42.0,20,3,1.26,77.7,0.85,1.27,310.6141212310173,-0.9749279121818236,-0.2225209339563146,0.43388373911755823,-0.900968867902419
54.0,11,1,1.11,53.39,0.89,1.05,196.69739048584773,0.6234898018587339,-0.7818314824680295,0.7818314824680298,0.6234898018587336
79.0,25,3,0.42,161.14,1.02,1.18,358.2396768520301,-0.6234898018587337,0.7818314824680297,0.43388373911755823,-0.900968867902419
96.0,10,4,0.73,163.51,1.49,1.05,463.7267534791507,0.7818314824680299,-0.6234898018587335,-0.433883739117558,-0.9009688679024191
61.5,20,6,0.22,114.22,1.38,0.96,355.7210890718555,-0.9749279121818236,-0.2225209339563146,-0.7818314824680299,0.6234898018587334
27.0,21,1,1.46,100.15,1.12,1.3,221.2521901979987,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336
70.0,20,6,0.34,80.64,0.8,0.68,153.96472046244642,-0.9749279121818236,-0.2225209339563146,-0.7818314824680299,0.6234898018587334
113.0,2,2,1.46,157.72,0.5,0.58,361.53261124024505,0.4338837391175581,0.9009688679024191,0.9749279121818236,-0.22252093395631434
84.0,23,8,0.7994440767703508,54.37,0.87,1.14,320.7862721805381,-0.9009688679024193,0.43388373911755795,0.7818314824680296,0.6234898018587337
89.0,16,0,0.13,113.72,0.9955188679245284,0.8799999999999999,329.9408579941754,-0.433883739117558,-0.9009688679024191,0.0,1.0
66.0,25,7,0.94,150.45,0.74,0.62,324.3407115209252,-0.6234898018587337,0.7818314824680297,-2.4492935982947064e-16,1.0
57.0,20,3,0.77,121.56,1.12,0.8233333333333334,227.71437437544023,-0.9749279121818236,-0.2225209339563146,0.43388373911755823,-0.900968867902419
48.0,20,3,1.34,117.71,0.86,1.0266666666666666,159.3006022730737,-0.9749279121818236,-0.2225209339563146,0.43388373911755823,-0.900968867902419
39.0,3,0,1.24,166.24,1.25,1.23,305.09934306818445,0.6234898018587335,0.7818314824680298,0.0,1.0
20.0,5,8,0.7994440767703508,111.47,1.1,0.71,249.07045430293329,0.9009688679024191,0.4338837391175582,0.7818314824680296,0.6234898018587337
25.0,24,5,0.31,119.92,1.01,0.1,166.32480043762894,-0.7818314824680299,0.6234898018587334,-0.9749279121818236,-0.2225209339563146
67.0,26,4,0.81,150.08,0.63,0.43666666666666665,116.57156649785558,-0.4338837391175575,0.9009688679024194,-0.433883739117558,-0.9009688679024191
109.0,25,6,0.2,102.71,1.49,0.7733333333333333,413.26652103821885,-0.6234898018587337,0.7818314824680297,-0.7818314824680299,0.6234898018587334
48.0,2,3,1.27,126.22,0.9955188679245284,1.11,241.5645712559857,0.4338837391175581,0.9009688679024191,0.43388373911755823,-0.900968867902419
115.0,6,5,1.23,85.58,0.78,0.86,346.67288378261696,0.9749279121818236,0.22252093395631445,-0.9749279121818236,-0.2225209339563146
73.0,6,8,0.4,111.87,1.18,0.87,367.4094945636733,0.9749279121818236,0.22252093395631445,0.7818314824680296,0.6234898018587337
40.0,13,6,1.46,126.79,0.79,0.98,156.35626667861854,0.2225209339563141,-0.9749279121818237,-0.7818314824680299,0.6234898018587334
45.0,17,4,1.02,176.12,0.65,1.09,332.98058600461246,-0.6234898018587338,-0.7818314824680296,-0.433883739117558,-0.9009688679024191
96.0,20,0,0.3,159.88,0.77,1.08,366.36248577133256,-0.9749279121818236,-0.2225209339563146,0.0,1.0
47.0,22,0,0.97,55.79,1.47,1.07,242.6777487093531,-0.9749279121818238,0.22252093395631334,0.0,1.0
39.0,20,8,0.56,42.93,1.27,0.87,178.00981706392398,-0.9749279121818236,-0.2225209339563146,0.7818314824680296,0.6234898018587337
31.0,20,2,0.7994440767703508,131.38,1.18,1.16,287.0554336980059,-0.9749279121818236,-0.2225209339563146,0.9749279121818236,-0.22252093395631434
115.0,27,1,0.88,119.92,1.25,0.02,390.2554374199,-0.22252093395631464,0.9749279121818235,0.7818314824680298,0.6234898018587336
68.0,15,8,0.01,111.87,0.9955188679245284,0.28,327.18314121574457,-0.22252093395631384,-0.9749279121818237,0.7818314824680296,0.6234898018587337
66.0,20,6,0.2,126.39,1.4,1.24,598.2635172022032,-0.9749279121818236,-0.2225209339563146,-0.7818314824680299,0.6234898018587334
64.0,20,4,0.7994440767703508,179.77,1.29,0.92,400.5770290601516,-0.9749279121818236,-0.2225209339563146,-0.433883739117558,-0.9009688679024191
101.0,20,5,0.55,101.91,0.88,1.11,345.63748600076565,-0.9749279121818236,-0.2225209339563146,-0.9749279121818236,-0.2225209339563146
96.0,20,7,0.44,96.95,0.9955188679245284,0.99,359.32615057758824,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
38.0,7,4,0.87,54.06,1.16,0.85,204.11467134310743,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
57.0,12,4,0.49,126.68,0.98,0.9833333333333333,302.662281288838,0.43388373911755823,-0.900968867902419,-0.433883739117558,-0.9009688679024191
44.666666666666664,20,3,0.7994440767703508,107.65,1.09,1.1166666666666667,139.68965009123627,-0.9749279121818236,-0.2225209339563146,0.43388373911755823,-0.900968867902419
32.33333333333333,4,8,1.24,137.87,0.83,1.25,448.6525069677269,0.7818314824680298,0.6234898018587336,0.7818314824680296,0.6234898018587337
20.0,20,1,0.7994440767703508,69.22,1.14,0.78,202.5848581168268,-0.9749279121818236,-0.2225209339563146,0.7818314824680298,0.6234898018587336
99.0,7,0,0.7994440767703508,102.42,0.76,0.6,368.3211137070616,1.0,6.123233995736766e-17,0.0,1.0
56.0,19,6,1.35,124.0,0.76,0.55,285.8306697199432,-0.900968867902419,-0.4338837391175583,-0.7818314824680299,0.6234898018587334
103.0,22,8,0.75,180.65,1.38,0.63,438.5909608177073,-0.9749279121818238,0.22252093395631334,0.7818314824680296,0.6234898018587337
115.0,17,0,1.09,172.86,0.95,0.71,450.8846161951657,-0.6234898018587338,-0.7818314824680296,0.0,1.0
103.25,1,8,0.87,115.25,0.52,0.9,142.04241595169484,0.2225209339563144,0.9749279121818236,0.7818314824680296,0.6234898018587337
91.5,0,6,0.79,159.97,0.9955188679245284,1.13,216.3899804638656,0.0,1.0,-0.7818314824680299,0.6234898018587334
79.75,20,4,0.05,194.42,0.9955188679245284,1.095,280.0018414091578,-0.9749279121818236,-0.2225209339563146,-0.433883739117558,-0.9009688679024191
68.0,14,3,1.48,93.21,1.48,1.06,283.5138315942117,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419
77.0,4,0,1.24,78.14,0.9955188679245284,0.765,275.1518788755855,0.7818314824680298,0.6234898018587336,0.0,1.0
30.0,26,3,1.27,154.38,0.62,0.47,214.44557161527567,-0.4338837391175575,0.9009688679024194,0.43388373911755823,-0.900968867902419
70.0,11,8,0.7994440767703508,102.36,1.18,1.16,303.1911246160588,0.6234898018587339,-0.7818314824680295,0.7818314824680296,0.6234898018587337
110.0,20,6,1.01,95.84,1.16,1.225,333.7362926576527,-0.9749279121818236,-0.2225209339563146,-0.7818314824680299,0.6234898018587334
126.0,0,1,0.7994440767703508,119.92,0.9955188679245284,1.29,372.9926863915312,0.0,1.0,0.7818314824680298,0.6234898018587336
26.0,14,4,0.64,99.52,1.29,0.26,258.16008181961973,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191
25.0,19,8,1.36,152.84,1.29,0.48,227.0534699706818,-0.900968867902419,-0.4338837391175583,0.7818314824680296,0.6234898018587337
39.0,7,4,0.49,146.06,0.78,0.7,174.78818935702623,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
53.0,20,3,0.54,187.45,0.57,0.7999999999999999,598.2635172022032,-0.9749279121818236,-0.2225209339563146,0.43388373911755823,-0.900968867902419
119.0,8,8,0.0,182.19,0.64,0.9,444.7093603530672,0.9749279121818236,-0.22252093395631434,0.7818314824680296,0.6234898018587337
72.0,20,4,0.46,90.4,1.12,1.0,286.567406008393,-0.9749279121818236,-0.2225209339563146,-0.433883739117558,-0.9009688679024191
118.0,18,4,1.39,124.04,0.72,1.16,345.25124671725047,-0.7818314824680297,-0.6234898018587337,-0.433883739117558,-0.9009688679024191
111.0,27,6,0.09,105.56,0.9955188679245284,0.835,415.30764069479744,-0.22252093395631464,0.9749279121818235,-0.7818314824680299,0.6234898018587334
25.0,18,4,0.91,104.88,1.31,0.51,269.2480192230112,-0.7818314824680297,-0.6234898018587337,-0.433883739117558,-0.9009688679024191
102.0,9,3,0.7994440767703508,89.69,0.82,0.02,355.47393767156774,0.9009688679024191,-0.43388373911755806,0.43388373911755823,-0.900968867902419
5.0,17,1,0.15,165.68,0.85,0.59,263.27920963870685,-0.6234898018587338,-0.7818314824680296,0.7818314824680298,0.6234898018587336
7.0,20,2,1.01,189.69,0.84,1.25,201.6637748525114,-0.9749279121818236,-0.2225209339563146,0.9749279121818236,-0.22252093395631434
90.0,10,8,0.98,78.19,1.31,0.08,367.8634117309647,0.7818314824680299,-0.6234898018587335,0.7818314824680296,0.6234898018587337
84.5,20,0,1.43,163.58,1.06,0.35500000000000004,147.25803440314567,-0.9749279121818236,-0.2225209339563146,0.0,1.0
79.0,15,5,0.07,34.45,0.82,0.63,292.09368533821805,-0.22252093395631384,-0.9749279121818237,-0.9749279121818236,-0.2225209339563146
65.0,6,2,1.05,163.54,0.9,1.25,366.0306296378244,0.9749279121818236,0.22252093395631445,0.9749279121818236,-0.22252093395631434
36.0,11,0,1.45,117.9,0.74,-0.0,158.16542805685577,0.6234898018587339,-0.7818314824680295,0.0,1.0
67.0,20,4,0.92,154.02,1.24,1.1,338.31773903147155,-0.9749279121818236,-0.2225209339563146,-0.433883739117558,-0.9009688679024191
80.0,9,2,0.87,162.11,1.1,0.81,367.4317702114261,0.9009688679024191,-0.43388373911755806,0.9749279121818236,-0.22252093395631434
112.0,15,5,0.7994440767703508,155.36,1.33,1.02,490.558118965922,-0.22252093395631384,-0.9749279121818237,-0.9749279121818236,-0.2225209339563146
92.0,11,8,0.83,100.54,0.9955188679245284,0.87,335.1454664526369,0.6234898018587339,-0.7818314824680295,0.7818314824680296,0.6234898018587337
36.0,20,4,0.7994440767703508,149.56,0.78,0.72,325.58647486565866,-0.9749279121818236,-0.2225209339563146,-0.433883739117558,-0.9009688679024191
40.0,24,8,0.7994440767703508,89.39,1.06,0.91,190.91161105755893,-0.7818314824680299,0.6234898018587334,0.7818314824680296,0.6234898018587337
117.0,12,5,0.55,108.43,0.54,0.93,375.4087477088029,0.43388373911755823,-0.900968867902419,-0.9749279121818236,-0.2225209339563146
49.0,21,1,0.99,54.89,1.39,0.2,189.03888879745276,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336
104.0,7,5,0.62,123.96,1.23,0.09,418.1884929090908,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
117.0,0,4,1.22,135.02,1.03,0.29500000000000004,395.7620347886333,0.0,1.0,-0.433883739117558,-0.9009688679024191
8.0,22,4,0.91,159.76,1.38,0.5,209.712755785166,-0.9749279121818238,0.22252093395631334,-0.433883739117558,-0.9009688679024191
46.0,20,3,0.7994440767703508,71.92,0.85,0.72,180.58783486937568,-0.9749279121818236,-0.2225209339563146,0.43388373911755823,-0.900968867902419
35.25,3,7,0.29,116.66,1.37,1.005,164.80433234327216,0.6234898018587335,0.7818314824680298,-2.4492935982947064e-16,1.0
24.5,22,4,1.15,182.89,0.81,1.29,147.53185120608444,-0.9749279121818238,0.22252093395631334,-0.433883739117558,-0.9009688679024191
13.75,9,8,0.34,182.48,0.87,0.27,163.39540715556356,0.9009688679024191,-0.43388373911755806,0.7818314824680296,0.6234898018587337
3.0,15,3,1.47,119.92,0.66,1.09,148.2916881846811,-0.22252093395631384,-0.9749279121818237,0.43388373911755823,-0.900968867902419
14.0,14,2,0.89,126.51,1.19,0.39,236.3609616296896,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434
17.0,9,1,1.34,136.93,0.64,0.78,163.01751700942805,0.9009688679024191,-0.43388373911755806,0.7818314824680298,0.6234898018587336
67.0,20,1,1.03,21.818749999999994,1.14,0.07,254.5998900741349,-0.9749279121818236,-0.2225209339563146,0.7818314824680298,0.6234898018587336
65.0,16,6,0.7994440767703508,177.32,1.07,1.02,391.9398892661797,-0.433883739117558,-0.9009688679024191,-0.7818314824680299,0.6234898018587334
125.0,20,0,1.45,119.92,0.9955188679245284,0.7,392.0951082453682,-0.9749279121818236,-0.2225209339563146,0.0,1.0
25.0,18,6,1.34,92.33,1.38,0.6599999999999999,215.8365300379145,-0.7818314824680297,-0.6234898018587337,-0.7818314824680299,0.6234898018587334
116.0,20,4,0.7994440767703508,121.29,0.71,0.62,437.9745918683351,-0.9749279121818236,-0.2225209339563146,-0.433883739117558,-0.9009688679024191
5.0,20,0,0.02,97.45,0.7,0.43,184.9270512512184,-0.9749279121818236,-0.2225209339563146,0.0,1.0
47.0,20,5,0.04,47.57,1.41,0.6799999999999999,250.68204863160625,-0.9749279121818236,-0.2225209339563146,-0.9749279121818236,-0.2225209339563146
46.0,14,6,0.67,96.05,0.82,0.93,359.58857760918886,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334
45.0,20,6,1.55,159.46,1.02,0.52,280.670154269484,-0.9749279121818236,-0.2225209339563146,-0.7818314824680299,0.6234898018587334
67.66666666666667,12,2,0.92,126.99,0.82,0.11,87.47843438434558,0.43388373911755823,-0.900968867902419,0.9749279121818236,-0.22252093395631434
90.33333333333334,5,3,1.54,127.13,0.52,0.36,278.1562949995718,0.9009688679024191,0.4338837391175582,0.43388373911755823,-0.900968867902419
113.0,20,3,0.53,197.12,1.44,0.61,489.6309732925549,-0.9749279121818236,-0.2225209339563146,0.43388373911755823,-0.900968867902419
117.0,14,3,0.35,139.46,1.41,0.86,432.60715229513846,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419
48.0,8,3,0.11,125.94,1.47,1.27,347.16018429456886,0.9749279121818236,-0.22252093395631434,0.43388373911755823,-0.900968867902419
129.0,7,5,0.68,127.73,0.9955188679245284,0.7,345.35224466246746,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
69.0,20,0,0.7994440767703508,167.84,1.46,0.01,408.3373953068505,-0.9749279121818236,-0.2225209339563146,0.0,1.0
24.0,17,0,1.12,172.59,1.43,1.05,231.6166689311073,-0.6234898018587338,-0.7818314824680296,0.0,1.0
72.0,13,7,1.08,119.92,1.31,0.91,357.33596575481613,0.2225209339563141,-0.9749279121818237,-2.4492935982947064e-16,1.0
63.0,6,6,0.6,120.42,1.07,0.52,319.1263767772218,0.9749279121818236,0.22252093395631445,-0.7818314824680299,0.6234898018587334
61.0,13,8,0.7994440767703508,141.13,0.88,0.29,387.6000575570338,0.2225209339563141,-0.9749279121818237,0.7818314824680296,0.6234898018587337
107.0,1,7,1.24,84.47,1.11,1.13,300.3044914824051,0.2225209339563144,0.9749279121818236,-2.4492935982947064e-16,1.0
88.0,9,3,1.16,119.92,0.78,0.11,352.3889924314301,0.9009688679024191,-0.43388373911755806,0.43388373911755823,-0.900968867902419
41.0,27,0,0.44,91.16,1.39,0.37,248.25139739242445,-0.22252093395631464,0.9749279121818235,0.0,1.0
28.333333333333336,22,6,1.18,99.42,0.51,0.03,598.2635172022032,-0.9749279121818238,0.22252093395631334,-0.7818314824680299,0.6234898018587334
15.666666666666668,25,4,1.48,106.48,0.67,0.17333333333333334,77.65105761276313,-0.6234898018587337,0.7818314824680297,-0.433883739117558,-0.9009688679024191
3.0,20,7,1.49,122.73,1.43,0.31666666666666665,202.9978473873596,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
42.0,15,0,1.14,101.08,0.8,0.46,204.1632035953138,-0.22252093395631384,-0.9749279121818237,0.0,1.0
51.0,8,0,1.02,106.5,1.43,0.91,429.7492197317635,0.9749279121818236,-0.22252093395631434,0.0,1.0
60.0,20,6,0.79,117.66,0.75,0.55,266.11411940454326,-0.9749279121818236,-0.2225209339563146,-0.7818314824680299,0.6234898018587334
106.0,24,7,0.7994440767703508,121.0,0.51,0.79,363.51740437192353,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
123.0,7,6,0.08,157.82,1.23,0.8600000000000001,455.568660774044,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334
107.0,18,6,0.44,134.41,1.09,0.93,430.1918701396167,-0.7818314824680297,-0.6234898018587337,-0.7818314824680299,0.6234898018587334
